timestamp,GK,team1_name2,team1_name3,score1,GK,S1,S2,score2
2025-11-28T01:01:33.146000+00:00,jib,hawk,wraith,1,gentle,aster,jinsye,5
2025-11-28T01:12:06.673000+00:00,jib,wraith,hawk,5,gentle,aster,anon,3
2025-11-28T19:33:02.968000+00:00,kami,aster,neptune,5,popop,kaif,ash,0
2025-11-28T19:46:58.322000+00:00,jib,aster,neptune,5,kami,pike,ash,3
2025-11-28T19:50:40.969000+00:00,pike,aster,jinsye,5,kami,popop,ash,4
2025-11-28T19:57:03.189000+00:00,kami,pike,ash,4,popop,aster,jinsye,5
2025-11-28T20:05:43.254000+00:00,popop,aster,jinsye,3,pike,kaif,neptune,5
2025-11-30T22:22:14.426000+00:00,kami,aster,ash,5,pike,ema,danny,4
2025-11-30T22:28:35.537000+00:00,rxob,ema,aster,5,pike,danny,cawk,1
2025-11-30T22:35:32.012000+00:00,kami,aster,ema,0,pike,rxob,cawk,5
2025-11-30T22:49:36.919000+00:00,kami,aster,ema,5,pike,rxob,ash,4
2025-11-30T22:55:27.737000+00:00,wraith,rxob,aster,4,pike,herb,ash,5
2025-11-30T23:11:54.575000+00:00,kami,wraith,hawk,5,pike,aster,ash,3
2025-12-01T03:34:58.981000+00:00,kami,pike,ash,5,kaif,nae,anon,2
2025-12-01T03:41:09.678000+00:00,pike,klanon,ash,5,shan88,neptune,air,3
2025-12-01T04:03:03.797000+00:00,pike,klanon,ash,5,kami,shan,gentle,3
2025-12-01T04:07:31.045000+00:00,gentle,anon,ash,1,shan,kami,pike,5
2025-12-01T04:12:08.231000+00:00,shan,gentle,anon,1,kami,ash,pike,5
2025-12-01T04:20:34.909000+00:00,shan,gentle,anon,5,kami,pike,neptune,0
2025-12-01T04:29:46.575000+00:00,shan,gentle,ash,5,kami,pike,neptune,4
2025-12-01T04:41:43.129000+00:00,gentle,anon,ash,2,pike,kaif,neptune,5
2025-12-01T04:47:39.286000+00:00,gentle,anon,ash,5,pike,kaif,kami,0
2025-12-01T04:53:09.517000+00:00,shan,gentle,ash,2,pike,kaif,kami,5
2025-12-01T05:00:02.097000+00:00,shan,gentle,ash,3,pike,kaif,ella,5
2025-12-01T05:07:50.962000+00:00,gentle,kami,ash,5,rxob,pike,ella,3
2025-12-02T08:29:32.194000+00:00,neptune,jinsye,hawk,1,kami,E,stella,5
2025-12-02T08:36:55.898000+00:00,bapsy,jinsye,hawk,5,kami,stella,E,2
2025-12-02T08:41:18.812000+00:00,bapsy,hawk,E,5,kami,jinsye,stella,2
2025-12-02T20:33:50.481000+00:00,kami,wraith,ash,2,bapsy,popop,stella,5
2025-12-02T21:00:14.540000+00:00,kami,popop,stella,1,jib,bapsy,wraith,5
2025-12-06T18:07:10.883000+00:00,gentle,kami,nae,2,kaif,popop,jinsye,5
2025-12-06T18:20:22.622000+00:00,kami,ash,neptune,4,gentle,ash,jinsye,5
2025-12-06T18:30:52.570000+00:00,kami,popop,jinsye,3,gentle,neptune,wraith,5
